Traceback (most recent call last):
  File "./combine_obs_2min.py", line 3, in <module>
    from letkfobsio import *
ModuleNotFoundError: No module named 'letkfobsio'
2013:07:13 05-49-30 -> 2013:07:13 05-50-00
2013:07:13 05-50-00 -> 2013:07:13 05-50-00
2013:07:13 05-48-30 -> 2013:07:13 05-50-00
2013:07:13 05-49-00 -> 2013:07:13 05-50-00
2013:07:13 05-49-30 -> 2013:07:13 05-50-00
2013:07:13 05-50-00 -> 2013:07:13 05-50-00
2013:07:13 05-50-30 -> 2013:07:13 05-51-00
2013:07:13 05-51-00 -> 2013:07:13 05-51-00
2013:07:13 05-51-30 -> 2013:07:13 05-52-00
2013:07:13 05-52-00 -> 2013:07:13 05-52-00
2013:07:13 05-50-30 -> 2013:07:13 05-52-00
2013:07:13 05-51-00 -> 2013:07:13 05-52-00
2013:07:13 05-51-30 -> 2013:07:13 05-52-00
2013:07:13 05-52-00 -> 2013:07:13 05-52-00
2013:07:13 05-52-30 -> 2013:07:13 05-53-00
2013:07:13 05-53-00 -> 2013:07:13 05-53-00
2013:07:13 05-53-30 -> 2013:07:13 05-54-00
2013:07:13 05-54-00 -> 2013:07:13 05-54-00
2013:07:13 05-52-30 -> 2013:07:13 05-54-00
2013:07:13 05-53-00 -> 2013:07:13 05-54-00
2013:07:13 05-53-30 -> 2013:07:13 05-54-00
2013:07:13 05-54-00 -> 2013:07:13 05-54-00
2013:07:13 05-54-30 -> 2013:07:13 05-55-00
2013:07:13 05-55-00 -> 2013:07:13 05-55-00
2013:07:13 05-55-30 -> 2013:07:13 05-56-00
